"","stories_id","publish_date","title","url","language","ap_syndicated","themes","media_id","media_name","media_url","media_pub_country","media_pub_state","media_language","media_about_country","media_media_type"
"20860",348700159,"2015-05-29 09:42:28","Tilda Swinton en négociation pour devenir le mentor du Doctor Strange","http://www.lefigaro.fr/cinema/2015/05/29/03002-20150529ARTFIG00208-tilda-swinton-en-negociation-pour-devenir-le-mentor-du-doctor-strange.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"86947",265968943,"2014-08-24 16:01:00","Trois morts dans un accident en Corse","http://feeds.lefigaro.fr/c/32266/f/438191/s/3dce7f09/sc/41/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A140C0A80C240C970A0A10E20A140A824FILWWW0A0A1360Etrois0Emorts0Edans0Eun0Eaccident0Een0Ecorse0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"298619",696946322,"2017-09-27 00:01:20","Pourquoi la France est le paradis des expatriés retraités","http://www.lefigaro.fr/conjoncture/2017/09/27/20002-20170927ARTFIG00017-pourquoi-la-france-est-le-paradis-des-expatries-retraites.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"381735",1126580079,"2018-12-27 10:53:51","Prélèvement à la source : un coup d'envoi à haut risque","http://www.lefigaro.fr/impots/2018/12/27/05003-20181227ARTFIG00140-prelevement-a-la-source-un-coup-d-envoi-a-haut-risque.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"204204",527938228,"2016-10-14 06:41:41","Intempéries: 11 blessés à Ajaccio ","http://www.lefigaro.fr/flash-actu/2016/10/14/97001-20161014FILWWW00152-intemperies-11-blesses-a-ajaccio.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"352000",933314726,"2018-07-20 17:52:59","Affaire Benalla : ces photos qui infirment la version de l'Élysée","http://www.lefigaro.fr/actualite-france/2018/07/20/01016-20180720ARTFIG00357-affaire-benalla-ces-photos-qui-infirment-la-version-de-l-elysee.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"170549",496701939,"2016-08-03 07:09:44","L'aéroport de Dubaï, premier au monde en termes de passagers, fermé après un accident","http://www.lefigaro.fr/flash-eco/2016/08/03/97002-20160803FILWWW00113-l-aeroport-de-dubai-premier-au-monde-en-termes-de-passagers-ferme-apres-un-accident.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"78569",392049085,"2015-10-29 11:48:11","Grand Prix de l'Académie française : Kaddour et Sansal ex-aequo","http://www.lefigaro.fr/livres/2015/10/29/03005-20151029ARTFIG00250-grand-prix-de-l-academie-francaise-kaddour-et-sansal-ex-aequo.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"208026",530415846,"2016-10-19 08:29:37","L'offensive sur Mossoul ne doit pas ""chasser les terroristes"" d'Irak vers la Syrie (armée russe)","http://www.lefigaro.fr/flash-actu/2016/10/19/97001-20161019FILWWW00195-l-offensive-sur-mossoul-ne-doit-pas-chasser-les-terroristes-d-irak-vers-la-syrie-armee-russe.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"306049",720381725,"2017-11-06 01:41:47","Pierre Joxe, accusé d'agression sexuelle, dénonce «un tissu de contre-vérités»","http://www.lefigaro.fr/actualite-france/2017/11/06/01016-20171106ARTFIG00030-pierre-joxe-accuse-d-agression-sexuelle-denonce-un-tissu-de-contre-verites.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"183602",215195248,"2014-03-21 13:52:00","Les Français inégaux devant la taxe d'habitation","http://www.lefigaro.fr/impots/2014/03/21/05003-20140321ARTFIG00058-les-francais-inegaux-devant-la-taxe-d-habitation.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"202368",225587427,"2014-04-24 15:45:00","L'Arménie commémore le génocide en brûlant des drapeaux turcs","http://www.lefigaro.fr/photos/2014/04/24/01013-20140424ARTFIG00308-l-armenie-commemore-les-99-ans-du-genocide-en-brulant-des-drapeaux-turcs.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"389355",1185352022,"2019-02-06 08:34:12","Un paquebot pour Oran, de Guillaume de Dieuleveult: le goût de la Méditerranée","http://www.lefigaro.fr/livres/2019/02/06/03005-20190206ARTFIG00154--un-paquebot-pour-oran-de-guillaume-de-dieuleveult-le-gout-de-la-mediterranee.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"17946",326106940,"2015-03-12 11:46:32","Emma Lavigne : « Non, nous ne sommes pas élitistes ! »","http://www.lefigaro.fr/arts-expositions/2015/03/12/03015-20150312ARTFIG00280-emma-lavignecentre-pompidou-metz-non-nous-ne-sommes-pas-elitistes.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"190988",129612313,"2013-06-20 07:21:00","Rebond significatif des intentions d'embauche en mai","http://www.lefigaro.fr/emploi/2013/06/20/09005-20130620ARTFIG00414-rebond-significatif-des-declarations-d-embauche-en-mai.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"211573",144737962,"2013-08-05 14:33:00","Orages: 8 départements en alerte orange","http://feeds.lefigaro.fr/c/32266/f/438191/s/2f953356/sc/29/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A130C0A80C0A50C970A0A10E20A130A80A5FILWWW0A0A30A70Eorages0E80Edepartements0Een0Ealerte0Eorange0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
