media,country,week,articles
en_NZL_nzhera,SVK,2015-06-01,0.3333333333
en_NZL_nzhera,VEN,2015-03-09,10.5
es_VEN_univer,LBY,2014-05-19,9
en_MYS_starmy,PSE,2014-10-13,9
en_NZL_nzhera,GTM,2014-06-09,1.5
en_MYS_starmy,ARG,2015-06-22,3
en_USA_wapost,ARM,2015-01-05,0.5
es_VEN_univer,AFG,2014-05-26,4.5
en_GBR_dailyt,NRU,2015-05-04,1
fr_BEL_derheu,MEX,2014-06-16,0.3333333333
en_CHN_mopost,IRN,2015-02-16,1
en_PAK_newint,PHL,2014-06-30,1
fr_FRA_lmonde,HUN,2015-02-09,1
es_BOL_larazo,GBR,2014-07-14,2
es_MEX_univer,PHL,2015-06-01,1
en_GBR_dailyt,USA,2015-01-12,47.5
es_MEX_univer,JOR,2014-11-24,0.5
es_BOL_larazo,CHN,2014-12-22,1.5
es_MEX_jormex,CHL,2015-01-12,1
en_USA_nytime,KOR,2015-05-04,1
fr_BEL_lesoir,VAT,2015-03-09,2
es_CHL_mercur,ESP,2014-06-02,19.5
en_USA_nytime,CHE,2015-06-15,1
en_GBR_guardi,PSE,2015-06-01,2.8333333333
fr_FRA_lmonde,PRK,2015-02-16,2
en_USA_wapost,GRC,2014-02-03,1
en_MYS_starmy,GHA,2015-05-11,2
en_CHN_mopost,SAU,2014-05-26,0.5
en_SGP_twoday,HKG,2014-10-20,14.5
en_SGP_twoday,VEN,2014-06-30,2
en_USA_nytime,JPN,2014-11-17,12
es_ESP_elpais,UKR,2014-11-17,3.8333333333
en_MYS_starmy,SWE,2014-12-08,4.5
es_CHL_mercur,COL,2014-12-08,4.3333333333
fr_FRA_lepari,GBR,2014-02-03,3
es_ESP_catalu,PRK,2015-02-23,1
fr_BEL_derheu,ESP,2014-11-17,1
fr_FRA_lmonde,UKR,2014-03-10,52.5833333333
en_CHN_mopost,SYR,2014-07-28,0.5
en_GBR_guardi,PAK,2014-01-13,4.5
en_PAK_newint,THA,2014-02-24,4
en_NZL_nzhera,HTI,2014-07-14,3.5
en_AUS_austra,GIN,2015-01-12,1
en_IND_tindia,THA,2014-02-03,3
en_MYS_starmy,ROU,2015-03-16,1
en_MYS_starmy,TUN,2015-04-13,1
en_JPN_jatime,TWN,2014-05-19,0.5
en_USA_nytime,DEU,2015-04-20,3
en_NGA_thiday,ESP,2014-04-28,1
es_CHL_tercer,VAT,2014-10-13,3
fr_BEL_derheu,RUS,2014-11-10,3
en_USA_nytime,RUS,2014-11-10,15
en_CHN_chinad,PAK,2015-06-15,0.5
en_IND_tindia,NGA,2015-06-22,4
es_CHL_mercur,CHE,2014-12-01,0.5
en_GBR_guardi,PSE,2015-03-02,2
en_ZWE_chroni,USA,2015-02-02,3.3333333333
en_NZL_nzhera,DZA,2015-02-16,1
fr_FRA_lepari,UKR,2014-07-28,7.8333333333
en_SGP_twoday,EGY,2015-06-15,17.5
en_SGP_twoday,PRK,2015-01-26,2.5
en_CHN_chinad,UKR,2014-10-13,3.8333333333
en_GBR_guardi,TUN,2015-05-25,5
en_SGP_twoday,SLV,2015-02-16,1
en_IND_hindti,HKG,2015-06-15,2.5
en_CHN_mopost,PAN,2014-03-03,0.5
es_ESP_catalu,RUS,2015-04-13,6.5
es_CHL_mercur,KOR,2014-08-04,0.5
fr_FRA_lmonde,ESP,2014-04-21,1
es_MEX_jormex,DEU,2015-02-02,0.5833333333
en_NZL_nzhera,IND,2014-07-21,9.5
en_MYS_starmy,UZB,2014-09-22,1
es_CHL_mercur,ECU,2015-04-13,0.3333333333
en_MYS_starmy,NPL,2015-02-23,1.5
en_NZL_nzhera,EGY,2014-05-12,6.5
fr_FRA_lepari,ISR,2015-03-16,12
en_NZL_nzhera,URY,2014-12-08,4.5
en_SGP_twoday,JPN,2014-11-10,26.8333333333
en_IND_tindia,IRQ,2014-06-23,7
es_ESP_catalu,CHN,2015-04-06,3.5
en_GBR_guardi,LUX,2015-03-23,1
es_ESP_catalu,USA,2014-11-24,5
en_JPN_jatime,MKD,2015-06-15,1
en_NGA_thiday,ETH,2015-06-01,1
es_VEN_univer,MYS,2014-04-14,2
fr_BEL_derheu,SYR,2014-07-14,2
en_AUS_austra,EGY,2014-10-20,1
en_NZL_nzhera,PHL,2015-01-05,4.8333333333
en_CAN_starca,CUB,2014-11-17,0.5
en_CAN_starca,JPN,2014-09-22,2
en_PAK_newint,RUS,2014-12-15,2
en_ZWE_chroni,SYR,2014-03-24,1
en_USA_nytime,SWE,2015-01-19,1
es_BOL_patria,PRT,2014-07-07,1
es_VEN_univer,CMR,2014-06-23,2
es_ARG_nacion,USA,2015-02-23,7
es_BOL_patria,VAT,2015-01-19,0.5
en_CHN_mopost,SYR,2014-10-13,2
en_NZL_nzhera,SWE,2014-08-11,1
en_SGP_twoday,POL,2015-06-08,4.8333333333
fr_BEL_lesoir,ITA,2015-06-15,2.5
en_USA_nytime,DNK,2014-03-24,6
en_NZL_nzhera,SOM,2014-06-02,3.5
en_NGA_thiday,QAT,2015-06-15,0.5
en_USA_wapost,IDN,2015-03-09,1
