id_media,week,id_country,article_nb
en_NZL_nzhera_int,2015-06-01,SVK,0.3333333333
en_NZL_nzhera_int,2015-03-09,VEN,10.5
es_VEN_univer_int,2014-05-19,LBY,9
en_MYS_starmy_int,2014-10-13,PSE,9
en_NZL_nzhera_int,2014-06-09,GTM,1.5
en_MYS_starmy_int,2015-06-22,ARG,3
en_USA_wapost_int,2015-01-05,ARM,0.5
es_VEN_univer_int,2014-05-26,AFG,4.5
en_GBR_dailyt_int,2015-05-04,NRU,1
fr_BEL_derheu_int,2014-06-16,MEX,0.3333333333
en_CHN_mopost_int,2015-02-16,IRN,1
en_PAK_newint_int,2014-06-30,PHL,1
fr_FRA_lmonde_int,2015-02-09,HUN,1
es_BOL_larazo_int,2014-07-14,GBR,2
es_MEX_univer_int,2015-06-01,PHL,1
en_GBR_dailyt_int,2015-01-12,USA,47.5
es_MEX_univer_int,2014-11-24,JOR,0.5
es_BOL_larazo_int,2014-12-22,CHN,1.5
es_MEX_jormex_int,2015-01-12,CHL,1
en_USA_nytime_int,2015-05-04,KOR,1
fr_BEL_lesoir_int,2015-03-09,VAT,2
es_CHL_mercur_int,2014-06-02,ESP,19.5
en_USA_nytime_int,2015-06-15,CHE,1
en_GBR_guardi_int,2015-06-01,PSE,2.8333333333
fr_FRA_lmonde_int,2015-02-16,PRK,2
en_USA_wapost_int,2014-02-03,GRC,1
en_MYS_starmy_int,2015-05-11,GHA,2
en_CHN_mopost_int,2014-05-26,SAU,0.5
en_SGP_twoday_int,2014-10-20,HKG,14.5
en_SGP_twoday_int,2014-06-30,VEN,2
en_USA_nytime_int,2014-11-17,JPN,12
es_ESP_elpais_int,2014-11-17,UKR,3.8333333333
en_MYS_starmy_int,2014-12-08,SWE,4.5
es_CHL_mercur_int,2014-12-08,COL,4.3333333333
fr_FRA_lepari_int,2014-02-03,GBR,3
es_ESP_catalu_int,2015-02-23,PRK,1
fr_BEL_derheu_int,2014-11-17,ESP,1
fr_FRA_lmonde_int,2014-03-10,UKR,52.5833333333
en_CHN_mopost_int,2014-07-28,SYR,0.5
en_GBR_guardi_int,2014-01-13,PAK,4.5
en_PAK_newint_int,2014-02-24,THA,4
en_NZL_nzhera_int,2014-07-14,HTI,3.5
en_AUS_austra_int,2015-01-12,GIN,1
en_IND_tindia_int,2014-02-03,THA,3
en_MYS_starmy_int,2015-03-16,ROU,1
en_MYS_starmy_int,2015-04-13,TUN,1
en_JPN_jatime_int,2014-05-19,TWN,0.5
en_USA_nytime_int,2015-04-20,DEU,3
en_NGA_thiday_int,2014-04-28,ESP,1
es_CHL_tercer_int,2014-10-13,VAT,3
fr_BEL_derheu_int,2014-11-10,RUS,3
en_USA_nytime_int,2014-11-10,RUS,15
en_CHN_chinad_int,2015-06-15,PAK,0.5
en_IND_tindia_int,2015-06-22,NGA,4
es_CHL_mercur_int,2014-12-01,CHE,0.5
en_GBR_guardi_int,2015-03-02,PSE,2
en_ZWE_chroni_int,2015-02-02,USA,3.3333333333
en_NZL_nzhera_int,2015-02-16,DZA,1
fr_FRA_lepari_int,2014-07-28,UKR,7.8333333333
en_SGP_twoday_int,2015-06-15,EGY,17.5
en_SGP_twoday_int,2015-01-26,PRK,2.5
en_CHN_chinad_int,2014-10-13,UKR,3.8333333333
en_GBR_guardi_int,2015-05-25,TUN,5
en_SGP_twoday_int,2015-02-16,SLV,1
en_IND_hindti_int,2015-06-15,HKG,2.5
en_CHN_mopost_int,2014-03-03,PAN,0.5
es_ESP_catalu_int,2015-04-13,RUS,6.5
es_CHL_mercur_int,2014-08-04,KOR,0.5
fr_FRA_lmonde_int,2014-04-21,ESP,1
es_MEX_jormex_int,2015-02-02,DEU,0.5833333333
en_NZL_nzhera_int,2014-07-21,IND,9.5
en_MYS_starmy_int,2014-09-22,UZB,1
es_CHL_mercur_int,2015-04-13,ECU,0.3333333333
en_MYS_starmy_int,2015-02-23,NPL,1.5
en_NZL_nzhera_int,2014-05-12,EGY,6.5
fr_FRA_lepari_int,2015-03-16,ISR,12
en_NZL_nzhera_int,2014-12-08,URY,4.5
en_SGP_twoday_int,2014-11-10,JPN,26.8333333333
en_IND_tindia_int,2014-06-23,IRQ,7
es_ESP_catalu_int,2015-04-06,CHN,3.5
en_GBR_guardi_int,2015-03-23,LUX,1
es_ESP_catalu_int,2014-11-24,USA,5
en_JPN_jatime_int,2015-06-15,MKD,1
en_NGA_thiday_int,2015-06-01,ETH,1
es_VEN_univer_int,2014-04-14,MYS,2
fr_BEL_derheu_int,2014-07-14,SYR,2
en_AUS_austra_int,2014-10-20,EGY,1
en_NZL_nzhera_int,2015-01-05,PHL,4.8333333333
en_CAN_starca_int,2014-11-17,CUB,0.5
en_CAN_starca_int,2014-09-22,JPN,2
en_PAK_newint_int,2014-12-15,RUS,2
en_ZWE_chroni_int,2014-03-24,SYR,1
en_USA_nytime_int,2015-01-19,SWE,1
es_BOL_patria_int,2014-07-07,PRT,1
es_VEN_univer_int,2014-06-23,CMR,2
es_ARG_nacion_int,2015-02-23,USA,7
es_BOL_patria_int,2015-01-19,VAT,0.5
en_CHN_mopost_int,2014-10-13,SYR,2
en_NZL_nzhera_int,2014-08-11,SWE,1
en_SGP_twoday_int,2015-06-08,POL,4.8333333333
fr_BEL_lesoir_int,2015-06-15,ITA,2.5
en_USA_nytime_int,2014-03-24,DNK,6
en_NZL_nzhera_int,2014-06-02,SOM,3.5
en_NGA_thiday_int,2015-06-15,QAT,0.5
en_USA_wapost_int,2015-03-09,IDN,1
en_IND_tindia_int,2015-02-09,SLE,1
fr_BEL_derheu_int,2015-04-20,JPN,1
fr_BEL_lesoir_int,2015-04-27,CAF,1.5
es_VEN_univer_int,2014-09-29,GBR,17.8333333333
es_CHL_tercer_int,2014-03-31,ITA,1
en_USA_wapost_int,2015-04-13,CUB,11
fr_FRA_lmonde_int,2014-03-03,TUN,4.5
fr_FRA_lepari_int,2014-10-13,TUR,2.5
en_NZL_nzhera_int,2015-05-25,UKR,4.6666666667
fr_DZA_elwata_int,2014-01-20,SYR,1
es_MEX_univer_int,2014-07-14,NGA,3
es_VEN_univer_int,2015-03-30,GTM,1
en_AUS_hersun_int,2014-11-03,ISR,1
fr_DZA_xpress_int,2014-02-17,AUS,1
en_MYS_starmy_int,2014-08-18,PHL,3.5
es_MEX_univer_int,2014-04-28,CHN,5
es_MEX_univer_int,2014-04-28,AUS,2
es_MEX_jormex_int,2014-04-21,ARG,3
fr_DZA_elwata_int,2014-07-07,USA,0.5
en_NZL_nzhera_int,2014-07-28,BGR,1
en_PAK_newint_int,2014-03-10,SWE,0.5
en_CHN_mopost_int,2014-02-10,BRA,1.5
en_NZL_nzhera_int,2014-03-03,SWE,2.5
es_BOL_patria_int,2015-06-22,IND,1
fr_FRA_lepari_int,2015-03-30,SAU,0.3333333333
es_ESP_elpais_int,2015-04-13,CRI,1
en_MYS_starmy_int,2015-06-15,IRQ,10
fr_FRA_lmonde_int,2014-09-29,HKG,1.5
en_IND_hindti_int,2015-03-23,IDN,0.5
es_CHL_mercur_int,2014-08-11,ISR,10.8333333333
en_MYS_starmy_int,2014-05-05,PAN,5
es_MEX_univer_int,2014-12-29,CHN,7
en_IND_tindia_int,2015-01-26,CAN,1
en_GBR_dailyt_int,2015-02-23,COL,0.5
en_MYS_starmy_int,2014-12-29,KOR,2
es_BOL_patria_int,2014-12-15,PRY,1
en_CHN_chinad_int,2014-10-06,EGY,1
fr_DZA_xpress_int,2014-09-15,ISR,0.5
en_NZL_nzhera_int,2014-02-10,SWE,1.5
en_ZWE_chroni_int,2014-10-27,SDN,0.5
en_GBR_dailyt_int,2015-06-15,LBN,1
en_USA_wapost_int,2014-12-08,TUR,1
en_NZL_nzhera_int,2014-10-27,ROU,4
es_VEN_univer_int,2015-04-06,LBY,0.5
en_AUS_austra_int,2015-02-09,CMR,0.5
en_NZL_nzhera_int,2014-09-01,ARG,4
es_BOL_larazo_int,2014-09-01,CMR,1
es_ARG_nacion_int,2015-01-19,FRA,2
es_VEN_univer_int,2015-02-23,MEX,5
fr_FRA_lmonde_int,2014-10-13,PSE,7
es_MEX_univer_int,2014-12-15,AFG,6
en_AUS_austra_int,2014-08-18,DEU,0.5
en_SGP_twoday_int,2015-03-09,TCD,4.8333333333
fr_BEL_lesoir_int,2014-03-03,CRI,1
fr_FRA_lmonde_int,2015-03-30,DEU,3
en_NGA_thiday_int,2014-04-21,BIH,0.5
en_ZWE_chroni_int,2014-12-15,ISR,0.5
fr_BEL_derheu_int,2015-01-19,RUS,0.5
fr_FRA_lmonde_int,2015-04-13,BRA,2
fr_FRA_lmonde_int,2014-09-15,USA,19.6666666667
en_JPN_jatime_int,2014-07-07,TUR,1
en_USA_nytime_int,2015-06-29,TUN,6
en_MYS_starmy_int,2015-04-20,BGD,2
en_CHN_mopost_int,2015-02-23,HKG,4
en_NZL_nzhera_int,2015-03-30,CRI,2
en_PAK_newint_int,2015-06-01,DEU,0.3333333333
es_CHL_mercur_int,2015-06-01,AFG,1.5
es_ESP_elpais_int,2015-05-18,SAU,7
en_CHN_chinad_int,2014-05-26,VAT,1.3333333333
fr_BEL_lesoir_int,2015-01-05,TUN,1
en_USA_wapost_int,2014-05-12,DEU,2.5
en_CHN_chinad_int,2014-08-25,DJI,1
en_GBR_dailyt_int,2015-06-15,HKG,4
en_GBR_guardi_int,2015-02-16,RUS,24.8333333333
en_AUS_hersun_int,2014-05-26,NRU,2
es_MEX_jormex_int,2014-05-19,BEL,1
fr_BEL_lesoir_int,2014-08-04,PSE,25.5
en_CHN_chinad_int,2015-04-27,PHL,0.5
es_BOL_larazo_int,2014-12-29,RUS,2
en_ZWE_chroni_int,2014-08-18,HKG,1
en_USA_nytime_int,2014-04-21,DEU,1
es_ESP_catalu_int,2014-03-24,CHN,3.5
es_MEX_univer_int,2014-10-27,AUS,4
fr_BEL_derheu_int,2014-11-24,VAT,3
en_CHN_mopost_int,2013-12-30,JOR,0.8333333333
es_MEX_jormex_int,2014-07-07,ARG,2
en_MYS_starmy_int,2014-11-10,SRB,5.3333333333
en_AUS_austra_int,2014-12-15,UKR,0.5
en_ZWE_chroni_int,2014-12-01,CIV,1
es_VEN_univer_int,2014-12-08,CHN,3.8333333333
en_GBR_guardi_int,2015-05-04,IND,4
es_MEX_jormex_int,2014-11-03,FRA,2
en_GBR_dailyt_int,2014-01-20,CHN,11
en_MYS_starmy_int,2014-04-21,SRB,1
en_NZL_nzhera_int,2014-06-02,SYR,13.5
en_USA_nytime_int,2014-09-01,BHR,0.5
fr_FRA_lmonde_int,2015-06-08,ITA,5
en_CHN_chinad_int,2014-03-10,EGY,1
es_CHL_tercer_int,2015-05-04,PNG,0.5
en_MYS_starmy_int,2014-08-18,NOR,0.3333333333
en_MYS_starmy_int,2014-06-23,POL,8.5
es_BOL_larazo_int,2015-02-09,PRY,1
es_CHL_tercer_int,2015-04-20,USA,14.6666666667
en_MYS_starmy_int,2014-05-05,TUR,5.5
en_ZWE_chroni_int,2014-09-29,LBY,1
es_CHL_mercur_int,2014-04-21,VEN,14.8333333333
en_GBR_guardi_int,2015-02-23,HUN,2
fr_FRA_lmonde_int,2014-11-17,HUN,1
en_MYS_starmy_int,2015-05-25,ZAF,3
en_IND_tindia_int,2014-09-22,VEN,1
en_MYS_starmy_int,2015-04-06,NOR,1
en_CHN_mopost_int,2015-03-30,LBY,1
fr_DZA_xpress_int,2014-04-21,CHN,0.3333333333
en_MYS_starmy_int,2014-06-16,MAR,0.5
en_ZWE_chroni_int,2015-02-02,TGO,2
es_CHL_mercur_int,2015-02-23,URY,9.5
es_ARG_nacion_int,2014-06-23,SYR,2
en_IND_hindti_int,2015-04-06,CHN,4.5
es_MEX_univer_int,2014-10-06,NOR,1
en_GBR_guardi_int,2015-02-16,BEL,4
en_IND_hindti_int,2015-01-12,SAU,1
fr_FRA_lepari_int,2014-03-17,ITA,1.5
en_NZL_nzhera_int,2014-01-20,GRC,12.5
en_USA_wapost_int,2014-07-21,PSE,48.3333333333
en_PAK_newint_int,2014-03-03,IDN,1
fr_FRA_lepari_int,2014-11-24,USA,8.5
en_MYS_starmy_int,2015-06-08,SRB,0.5
en_NZL_nzhera_int,2015-06-29,LBR,3
en_JPN_jatime_int,2015-06-29,CHN,0.5
en_GBR_dailyt_int,2015-01-05,KEN,2
en_AUS_austra_int,2014-11-24,GBR,1.5
en_GBR_dailyt_int,2014-12-01,KOR,4.5
es_ESP_catalu_int,2014-09-15,ISR,0.5
es_CHL_mercur_int,2015-02-23,DNK,1
en_MYS_starmy_int,2015-01-12,IND,8
es_BOL_larazo_int,2014-12-01,RUS,0.5
en_USA_nytime_int,2015-02-09,CAF,1
en_SGP_twoday_int,2014-12-29,IRQ,9.3333333333
en_GBR_dailyt_int,2014-08-11,NOR,1
es_ESP_catalu_int,2015-03-02,ARG,1
en_NGA_thiday_int,2014-04-28,JAM,1
en_PAK_newint_int,2014-09-01,PSE,1.5
en_GBR_dailyt_int,2014-10-06,SYR,8.8333333333
en_IND_hindti_int,2015-06-29,SSD,0.5
en_GBR_dailyt_int,2015-01-26,IRL,1
en_ZWE_chroni_int,2014-04-14,MYS,1
en_SGP_twoday_int,2014-10-06,GBR,26
en_SGP_twoday_int,2015-06-08,ESP,5.3333333333
en_NZL_nzhera_int,2015-05-04,MKD,13
fr_CAN_jmontr_int,2014-06-30,PAK,1
en_NZL_nzhera_int,2015-02-02,SLV,4.5
en_JPN_jatime_int,2014-04-14,DEU,3
es_MEX_jormex_int,2015-04-06,PAK,0.3333333333
fr_FRA_lmonde_int,2015-03-09,SWE,2
es_MEX_jormex_int,2015-05-18,IRQ,2
fr_DZA_elwata_int,2014-08-04,PSE,2.5
en_CHN_chinad_int,2014-01-06,VEN,1
es_ESP_catalu_int,2015-03-16,ATG,1
