user,topic,time,obs
enmarchefr,DirectAN,2017-10-01,1
enmarchefr,vaccination,2017-10-01,1
enmarchefr,LaREM,2017-10-01,4
enmarchefr,apprentissage,2017-10-01,1
enmarchefr,Marseille,2017-10-01,1
enmarchefr,le79inter,2017-10-01,1
enmarchefr,GMS,2017-10-01,1
enmarchefr,Irma,2017-10-01,1
enmarchefr,ADCF,2017-10-01,2
enmarchefr,ConvADCF,2017-10-01,1
FranceInsoumise,Marseille,2017-10-01,1
FranceInsoumise,HDPros,2017-10-01,1
FranceInsoumise,SaintCharles,2017-10-01,1
FranceInsoumise,Bordel,2017-10-01,2
FranceInsoumise,GmS,2017-10-01,3
FranceInsoumise,Macron,2017-10-01,1
FranceInsoumise,OrdonnancesMacron,2017-10-01,1
FranceInsoumise,LoiTravailXXL,2017-10-01,2
FranceInsoumise,ordonnancestravail,2017-10-01,1
FranceInsoumise,CVR,2017-10-01,1
lesRepublicains,conseils,2017-10-01,1
lesRepublicains,TDInfos,2017-10-01,6
lesRepublicains,gasoil,2017-10-01,1
lesRepublicains,asso,2017-10-01,1
lesRepublicains,LoireAtlantique,2017-10-01,1
lesRepublicains,atelierdelarefondation,2017-10-01,1
lesRepublicains,LoiTerrorisme,2017-10-01,1
lesRepublicains,RTLMatin,2017-10-01,1
lesRepublicains,Paris,2017-10-01,4
lesRepublicains,fédération,2017-10-01,1
lesRepublicains,Budget2018,2017-10-01,2
lesRepublicains,Droites,2017-10-01,1
lesRepublicains,CSG,2017-10-01,2
lesRepublicains,UE,2017-10-01,1
lesRepublicains,AteliersRefondation,2017-10-01,23
lesRepublicains,PLF2018,2017-10-01,2
lesRepublicains,Européennes,2017-10-01,1
lesRepublicains,lesRépublicains,2017-10-01,2
lesRepublicains,Macron,2017-10-01,1
lesRepublicains,droite,2017-10-01,1
lesRepublicains,bordel,2017-10-01,2
lesRepublicains,NotreDrameDeParis,2017-10-01,2
lesRepublicains,Alstom,2017-10-01,1
nan,allthecoolgeeks,2017-10-01,1
partisocialiste,PLF2018,2017-10-01,7
partisocialiste,DirectAN,2017-10-01,9
partisocialiste,Macron,2017-10-01,1
partisocialiste,ContreBudget2018,2017-10-01,3
partisocialiste,ISF,2017-10-01,1
partisocialiste,LeContreBudget,2017-10-01,2
partisocialiste,Refondation,2017-10-01,1
partisocialiste,DevoirDeVigilance,2017-10-01,1
partisocialiste,BindingTreaty,2017-10-01,1
partisocialiste,10Octobre,2017-10-01,1
partisocialiste,fonctionpublique,2017-10-01,1
partisocialiste,servicepublic,2017-10-01,1
UDI_off,questeurs,2017-10-01,1
UDI_off,DirectAN,2017-10-01,1
enmarchefr,OctobreRose,2017-10-08,1
enmarchefr,MakeOurPlanetGreatAgain,2017-10-08,1
enmarchefr,Ateliers,2017-10-08,1
enmarchefr,fbm17,2017-10-08,1
enmarchefr,Ferrand,2017-10-08,2
enmarchefr,QAG,2017-10-08,1
enmarchefr,Echanges,2017-10-08,1
enmarchefr,Squad,2017-10-08,1
enmarchefr,CSG,2017-10-08,1
enmarchefr,EGAlim,2017-10-08,1
enmarchefr,Lareleve,2017-10-08,3
enmarchefr,Ministres,2017-10-08,1
enmarchefr,FRABIE,2017-10-08,1
enmarchefr,teamSolide,2017-10-08,1
enmarchefr,AllezAuTravail,2017-10-08,1
enmarchefr,LaREM,2017-10-08,8
enmarchefr,ReformesAN,2017-10-08,1
enmarchefr,CDM2018,2017-10-08,1
enmarchefr,UNESCO,2017-10-08,2
enmarchefr,jeunesse,2017-10-08,1
enmarchefr,REM,2017-10-08,1
enmarchefr,DemocratieNumerique,2017-10-08,1
enmarchefr,femme,2017-10-08,1
enmarchefr,ClassiqueMatin,2017-10-08,1
enmarchefr,DirectAn,2017-10-08,2
enmarchefr,education,2017-10-08,1
enmarchefr,SoinsPourTous,2017-10-08,1
enmarchefr,culture,2017-10-08,1
FranceInsoumise,France,2017-10-08,1
FranceInsoumise,LaFranceInsoumise,2017-10-08,1
FranceInsoumise,manifestation,2017-10-08,1
FranceInsoumise,Rouen,2017-10-08,1
FranceInsoumise,MarchonsPourLesFonctionnaires,2017-10-08,1
FranceInsoumise,FoutezNousLaPaix,2017-10-08,2
FranceInsoumise,Republique,2017-10-08,1
FranceInsoumise,LFI,2017-10-08,1
FranceInsoumise,Europe,2017-10-08,2
FranceInsoumise,Marseille,2017-10-08,2
FranceInsoumise,Gueret,2017-10-08,1
FranceInsoumise,etudiants,2017-10-08,1
FranceInsoumise,AssembléeNationale,2017-10-08,1
FranceInsoumise,FN,2017-10-08,1
FranceInsoumise,10octobre,2017-10-08,4
FranceInsoumise,QAG,2017-10-08,1
FranceInsoumise,Limoges,2017-10-08,1
FranceInsoumise,Fonctionnaires,2017-10-08,1
FranceInsoumise,bordel,2017-10-08,1
FranceInsoumise,Insoumis,2017-10-08,2
FranceInsoumise,salaries,2017-10-08,1
FranceInsoumise,fonctionpublique,2017-10-08,1
FranceInsoumise,greve10octobre,2017-10-08,26
FranceInsoumise,FI,2017-10-08,1
FranceInsoumise,JaiBordel,2017-10-08,6
FranceInsoumise,Macron,2017-10-08,4
FranceInsoumise,Caen,2017-10-08,1
FranceInsoumise,Paris,2017-10-08,1
FranceInsoumise,Nantes,2017-10-08,1
FranceInsoumise,Foix,2017-10-08,1
FranceInsoumise,LoiTravailXXL,2017-10-08,2
FranceInsoumise,FranceInsoumise,2017-10-08,3
FranceInsoumise,manif10octobre,2017-10-08,11
FranceInsoumise,GMS,2017-10-08,1
FranceInsoumise,Toulouse,2017-10-08,1
FranceInsoumise,Grenoble,2017-10-08,1
FranceInsoumise,Lille,2017-10-08,4
FranceInsoumise,bordeaux,2017-10-08,1
FranceInsoumise,syndicats,2017-10-08,1
FranceInsoumise,manif10oct,2017-10-08,1
FranceInsoumise,Voreppe,2017-10-08,1
FranceInsoumise,OrdonnancesMacron,2017-10-08,1
FranceInsoumise,10Oct,2017-10-08,1
FranceInsoumise,Quimper,2017-10-08,1
FranceInsoumise,codedutravail,2017-10-08,1
FranceInsoumise,fonctionnaire,2017-10-08,1
lesRepublicains,CSG,2017-10-08,1
lesRepublicains,Les4V,2017-10-08,2
lesRepublicains,CVR,2017-10-08,1
lesRepublicains,AteliersRefondation,2017-10-08,13
lesRepublicains,Antiterrorisme,2017-10-08,1
lesRepublicains,TDInfos,2017-10-08,3
lesRepublicains,Hidalgo,2017-10-08,1
lesRepublicains,ITVJ,2017-10-08,1
lesRepublicains,Rochefort,2017-10-08,1
lesRepublicains,QAG,2017-10-08,1
lesRepublicains,Catalogne,2017-10-08,1
lesRepublicains,AteliersRefondations,2017-10-08,1
lesRepublicains,ISF,2017-10-08,4
lesRepublicains,ElectionLR2017,2017-10-08,1
lesRepublicains,Constructifs,2017-10-08,1
lesRepublicains,BourdinDirect,2017-10-08,2
lesRepublicains,GdMatinSudRadio,2017-10-08,2
lesRepublicains,Macron,2017-10-08,1
lesRepublicains,LR,2017-10-08,1
lesRepublicains,lesRépublicains,2017-10-08,3
nan,bettermatters,2017-10-08,1
nan,TheRusticSanAntonio,2017-10-08,1
nan,sonos,2017-10-08,1
nan,flickr,2017-10-08,1
partisocialiste,Navigo,2017-10-08,1
partisocialiste,ISF,2017-10-08,1
partisocialiste,Floatgen,2017-10-08,1
partisocialiste,DirectIDF,2017-10-08,1
partisocialiste,Monsantopapers,2017-10-08,2
partisocialiste,manif10octobre,2017-10-08,1
partisocialiste,emploisaides,2017-10-08,1
partisocialiste,ContreBudget,2017-10-08,1
partisocialiste,SaintEtienne,2017-10-08,1
partisocialiste,QAG,2017-10-08,1
partisocialiste,Accouchementmesdroits,2017-10-08,7
partisocialiste,Fonctionnaires,2017-10-08,2
partisocialiste,FonctionPublique,2017-10-08,1
partisocialiste,luttecontrelesviolencesfaitesaux,2017-10-08,1
partisocialiste,respect,2017-10-08,1
partisocialiste,greve10octobre,2017-10-08,2
partisocialiste,PS,2017-10-08,1
partisocialiste,DirectPS,2017-10-08,8
partisocialiste,Marseille,2017-10-08,1
partisocialiste,transitionenergetique,2017-10-08,1
UDI_off,PolMat,2017-10-08,21
UDI_off,Catalogne,2017-10-08,2
UDI_off,AM59,2017-10-08,1
UDI_off,QAG,2017-10-08,3
UDI_off,RFI,2017-10-08,7
UDI_off,DirectAN,2017-10-08,1
UDI_off,LeTalk,2017-10-08,19
enmarchefr,Lyon,2017-10-15,1
enmarchefr,GaspillageAlimentaire,2017-10-15,1
enmarchefr,TaxedHabitation,2017-10-15,4
enmarchefr,RTLMatin,2017-10-15,1
enmarchefr,balancetonporc,2017-10-15,1
enmarchefr,Pouvoirdachat,2017-10-15,1
enmarchefr,marcheurs,2017-10-15,1
enmarchefr,LaREM,2017-10-15,2
enmarchefr,OctobreRose,2017-10-15,1
enmarchefr,TF1EMacron,2017-10-15,5
enmarchefr,inclusion,2017-10-15,1
enmarchefr,LeGrandEntretien,2017-10-15,2
enmarchefr,TDInfos,2017-10-15,1
enmarchefr,InterJAMIDF,2017-10-15,4
enmarchefr,UnÉtatquiprotège,2017-10-15,2
enmarchefr,EUCO,2017-10-15,2
FranceInsoumise,Sarkozy,2017-10-15,1
FranceInsoumise,TF1EMacron,2017-10-15,4
FranceInsoumise,HondelatteRaconte,2017-10-15,2
FranceInsoumise,ISF,2017-10-15,1
FranceInsoumise,JLMTF1,2017-10-15,1
FranceInsoumise,DecryptageFi,2017-10-15,38
FranceInsoumise,PLF2018,2017-10-15,1
FranceInsoumise,DirectAN,2017-10-15,1
FranceInsoumise,AvenirEnCommun,2017-10-15,1
FranceInsoumise,EnMarche,2017-10-15,1
FranceInsoumise,Paris,2017-10-15,1
FranceInsoumise,Macron,2017-10-15,4
FranceInsoumise,manif19octobre,2017-10-15,1
FranceInsoumise,LePen,2017-10-15,1
FranceInsoumise,MacronTF1,2017-10-15,1
FranceInsoumise,CETA,2017-10-15,1
lesRepublicains,Assurancechomage,2017-10-15,1
lesRepublicains,LeGrandEntretien,2017-10-15,2
lesRepublicains,lesRépublicains,2017-10-15,4
lesRepublicains,CongresADF,2017-10-15,1
lesRepublicains,Macron,2017-10-15,3
lesRepublicains,PaysDeLaLoire,2017-10-15,1
lesRepublicains,Calvi,2017-10-15,2
lesRepublicains,Bruxelles,2017-10-15,1
lesRepublicains,Sécurité,2017-10-15,2
lesRepublicains,PPE,2017-10-15,1
lesRepublicains,AmiralRogel,2017-10-15,1
lesRepublicains,EUCO,2017-10-15,1
lesRepublicains,CSG,2017-10-15,3
lesRepublicains,Pointdepresse,2017-10-15,1
lesRepublicains,MacronTF1,2017-10-15,1
lesRepublicains,ISF,2017-10-15,1
lesRepublicains,TF1EMacron,2017-10-15,8
lesRepublicains,IFI,2017-10-15,1
lesRepublicains,CongrèsLR,2017-10-15,1
lesRepublicains,GAFA,2017-10-15,1
lesRepublicains,AteliersRefondation,2017-10-15,1
nan,RewardsPoints,2017-10-15,1
nan,Facebook,2017-10-15,1
nan,CocktailConference,2017-10-15,1
nan,DestinationCocktails,2017-10-15,1
partisocialiste,Malte,2017-10-15,1
partisocialiste,ISF,2017-10-15,2
partisocialiste,Erasmus,2017-10-15,1
partisocialiste,17octobre1961,2017-10-15,1
partisocialiste,CSG,2017-10-15,1
partisocialiste,PLF2018,2017-10-15,1
partisocialiste,Logementsocial,2017-10-15,1
partisocialiste,APL,2017-10-15,2
partisocialiste,Gauche,2017-10-15,1
partisocialiste,FaisTonGattaz,2017-10-15,1
partisocialiste,Guyane,2017-10-15,1
partisocialiste,FlatTax,2017-10-15,1
partisocialiste,PLFSS2018,2017-10-15,1
UDI_off,UDI,2017-10-15,1
UDI_off,GuyBricout,2017-10-15,1
UDI_off,GrandParis,2017-10-15,1
UDI_off,APL,2017-10-15,1
UDI_off,BFMPolitique,2017-10-15,1
UDI_off,ClassiqueMatin,2017-10-15,9
UDI_off,senat,2017-10-15,1
UDI_off,Senat360,2017-10-15,1
UDI_off,Replay,2017-10-15,2
UDI_off,QAG,2017-10-15,3
UDI_off,ParlementHebdo,2017-10-15,17
UDI_off,ecologie,2017-10-15,1
UDI_off,DirectAN,2017-10-15,4
UDI_off,DeveloppementDurable,2017-10-15,1
UDI_off,Harcelementderue,2017-10-15,4
UDI_off,DirectIDF,2017-10-15,1
enmarchefr,LREM,2017-10-22,1
enmarchefr,glyphosate,2017-10-22,1
enmarchefr,croissance,2017-10-22,1
enmarchefr,FrenchTech,2017-10-22,1
enmarchefr,Harcèlement,2017-10-22,1
enmarchefr,PLFSS2018,2017-10-22,1
enmarchefr,ISF,2017-10-22,1
enmarchefr,travaildetache,2017-10-22,1
enmarchefr,DirectAN,2017-10-22,3
enmarchefr,CETA,2017-10-22,2
enmarchefr,paritenu,2017-10-22,1
enmarchefr,QAG,2017-10-22,1
enmarchefr,LCI,2017-10-22,1
enmarchefr,travailleursdetaches,2017-10-22,5
enmarchefr,Macron,2017-10-22,1
enmarchefr,interJAM,2017-10-22,1
enmarchefr,LaREM,2017-10-22,3
enmarchefr,E1Matin,2017-10-22,1
enmarchefr,PlanEntreprises,2017-10-22,2
enmarchefr,guyane,2017-10-22,1
enmarchefr,Reformes,2017-10-22,1
enmarchefr,MacronEnGuyane,2017-10-22,1
FranceInsoumise,travailleursdetaches,2017-10-22,1
FranceInsoumise,DecryptageFi,2017-10-22,45
FranceInsoumise,Budget18,2017-10-22,1
FranceInsoumise,ConfPresseFi,2017-10-22,6
FranceInsoumise,CICE,2017-10-22,2
FranceInsoumise,DecryptageF,2017-10-22,1
FranceInsoumise,DirectAN,2017-10-22,1
lesRepublicains,Macron,2017-10-22,1
lesRepublicains,lesRépublicains,2017-10-22,1
lesRepublicains,travailleursdetaches,2017-10-22,5
lesRepublicains,BPLR,2017-10-22,1
lesRepublicains,AteliersRefondation,2017-10-22,1
lesRepublicains,CETA,2017-10-22,4
lesRepublicains,Les4V,2017-10-22,3
lesRepublicains,SécuritéSociale,2017-10-22,1
nan,thxgiving,2017-10-22,1
nan,FordHolidayRiverParade,2017-10-22,1
nan,RewardsPoints,2017-10-22,2
partisocialiste,Bercy,2017-10-22,1
partisocialiste,CGT,2017-10-22,1
partisocialiste,Macron,2017-10-22,1
partisocialiste,Guyane,2017-10-22,1
partisocialiste,RiposteLaïque,2017-10-22,1
partisocialiste,PLF2018,2017-10-22,2
partisocialiste,CSG,2017-10-22,1
partisocialiste,DirectPS,2017-10-22,7
partisocialiste,Glyphosate,2017-10-22,4
partisocialiste,ESS,2017-10-22,1
partisocialiste,ISF,2017-10-22,1
partisocialiste,MoisESS17,2017-10-22,1
partisocialiste,logementsocial,2017-10-22,1
partisocialiste,TiersPayant,2017-10-22,1
partisocialiste,Tchétchénie,2017-10-22,1
partisocialiste,TPG,2017-10-22,1
partisocialiste,LGBT,2017-10-22,1
UDI_off,BFMPolitique,2017-10-22,22
UDI_off,Catalogne,2017-10-22,2
UDI_off,QAG,2017-10-22,1
UDI_off,harcelement,2017-10-22,2
UDI_off,PLFSS,2017-10-22,1
UDI_off,Toutestpolitique,2017-10-22,1
UDI_off,secu,2017-10-22,1
UDI_off,tousconcernes,2017-10-22,1
enmarchefr,3Novembre11h44,2017-10-29,1
enmarchefr,19hRuthElkrief,2017-10-29,1
enmarchefr,greenNewDeal,2017-10-29,1
enmarchefr,environnement,2017-10-29,1
enmarchefr,transitionenergetique,2017-10-29,1
enmarchefr,EngagementsTenus,2017-10-29,1
enmarchefr,LaREM,2017-10-29,6
enmarchefr,LoiAntiterrorisme,2017-10-29,6
enmarchefr,PoliceSécuritéQuotidien,2017-10-29,1
enmarchefr,le79inter,2017-10-29,3
enmarchefr,RTLMatin,2017-10-29,1
enmarchefr,Confpresse,2017-10-29,1
enmarchefr,Manhattan,2017-10-29,1
enmarchefr,PLFSS2018,2017-10-29,2
enmarchefr,PlanEtudiants,2017-10-29,8
enmarchefr,etatdurgence,2017-10-29,1
enmarchefr,Bucarest,2017-10-29,1
enmarchefr,DirectAN,2017-10-29,1
enmarchefr,polville,2017-10-29,1
enmarchefr,Rentrée2018,2017-10-29,2
enmarchefr,Transylvanie,2017-10-29,1
enmarchefr,QAG,2017-10-29,1
FranceInsoumise,FranceInsoumise,2017-10-29,2
FranceInsoumise,Sankara,2017-10-29,1
FranceInsoumise,France,2017-10-29,1
FranceInsoumise,QAG,2017-10-29,1
FranceInsoumise,ContreBudget,2017-10-29,56
FranceInsoumise,ordonnances,2017-10-29,1
FranceInsoumise,PLF2018,2017-10-29,1
FranceInsoumise,lesinformes,2017-10-29,1
FranceInsoumise,LFI,2017-10-29,1
FranceInsoumise,FI,2017-10-29,1
FranceInsoumise,loiantiterroriste,2017-10-29,1
FranceInsoumise,Etatdurgence,2017-10-29,1
FranceInsoumise,Nokia,2017-10-29,1
FranceInsoumise,CICE,2017-10-29,1
FranceInsoumise,Macron,2017-10-29,4
FranceInsoumise,CEDH,2017-10-29,1
lesRepublicains,sélection,2017-10-29,2
lesRepublicains,PlanEtudiants,2017-10-29,1
lesRepublicains,BPLR,2017-10-29,1
lesRepublicains,LaMatinale,2017-10-29,1
lesRepublicains,lesRépublicains,2017-10-29,1
lesRepublicains,Manhattan,2017-10-29,1
lesRepublicains,Macron,2017-10-29,2
lesRepublicains,PLF2018,2017-10-29,2
lesRepublicains,APL,2017-10-29,1
lesRepublicains,Sécurité,2017-10-29,1
lesRepublicains,TEP,2017-10-29,1
lesRepublicains,CSG,2017-10-29,2
partisocialiste,Isere,2017-10-29,1
partisocialiste,UNEF,2017-10-29,1
partisocialiste,climat,2017-10-29,1
partisocialiste,PSU,2017-10-29,1
partisocialiste,ONU,2017-10-29,1
partisocialiste,Manhattan,2017-10-29,2
partisocialiste,AccorddeParis,2017-10-29,1
partisocialiste,NY,2017-10-29,1
partisocialiste,Cop23,2017-10-29,1
partisocialiste,FondsVert,2017-10-29,2
partisocialiste,3novembre11h44,2017-10-29,2
enmarchefr,9November,2017-11-05,1
enmarchefr,racisme,2017-11-05,1
enmarchefr,LaREM,2017-11-05,1
enmarchefr,BerlinerMauer,2017-11-05,1
enmarchefr,ParadisePapers,2017-11-05,1
enmarchefr,antisémitisme,2017-11-05,1
enmarchefr,E1Matin,2017-11-05,1
enmarchefr,DirectAN,2017-11-05,1
